1/1/23,WINE AND BEYOND,ALCOHOL,Optional_Expenses,Vices,,$52.05
3/31/23,USL,MISC - LTD,Other,Deductions,$17.01,
4/15/23,USL,TXB LIFE,Other,Deductions,$12.74,
4/28/23,USL,TXB LIFE,Other,Deductions,$12.74,
1/15/23,USL,TXB LIFE,Other,Deductions,$11.44,
1/31/23,USL,TXB LIFE,Other,Deductions,$11.44,
2/15/23,USL,TXB LIFE,Other,Deductions,$11.44,
2/28/23,USL,TXB LIFE,Other,Deductions,$11.44,
3/15/23,USL,TXB LIFE,Other,Deductions,$11.44,
3/31/23,USL,TXB LIFE,Other,Deductions,$11.44,
7/24/23,ELIO,MONEY FOR SWIM STUFF,Income,Other,$7.87,
4/3/23,RBC,SAVINGS INTEREST,Income,Interest,$6.98,
4/15/23,USL,TXB AD&D,Other,Deductions,$4.29,
4/28/23,USL,TXB AD&D,Other,Deductions,$4.29,
1/15/23,USL,TXB AD&D,Other,Deductions,$3.85,
1/31/23,USL,TXB AD&D,Other,Deductions,$3.85,
2/15/23,USL,TXB AD&D,Other,Deductions,$3.85,
2/28/23,USL,TXB AD&D,Other,Deductions,$3.85,
3/15/23,USL,TXB AD&D,Other,Deductions,$3.85,
3/31/23,USL,TXB AD&D,Other,Deductions,$3.85,
2/1/23,RBC,SAVINGS INTEREST,Income,Interest,$3.50,
5/1/23,RBC,SAVINGS INTEREST,Income,Interest,$3.26,
3/1/23,RBC,SAVINGS INTEREST,Income,Interest,$2.24,
1/3/23,RBC,SAVINGS INTEREST,Income,Interest,$2.21,
8/1/23,RBC,SAVINGS INTEREST,Income,Interest,$2.06,
10/3/23,RBC,SAVINGS INTEREST,Income,Interest,$1.12,
9/1/23,RBC,SAVINGS INTEREST,Income,Interest,$0.97,
9/1/23,RBC,SAVINGS INTEREST,Income,Interest,$0.97,
10/3/23,RBC,SAVINGS INTEREST,Income,Interest,$0.09,
1/15/23,USL,- VEH ALLOW,Other,Tax,,0
1/15/23,USL,AD&D,Other,Deductions,,0
1/15/23,USL,DENT,Other,Deductions,,0
1/15/23,USL,ER EAP,Other,Deductions,,0
1/15/23,USL,EXTH,Other,Deductions,,0
1/15/23,USL,LIFE,Other,Deductions,,0
1/14/22,USL,- VEH ALLOW,Other,Tax,,0
3/15/22,USL,- VEH ALLOW,Other,Tax,,0
3/31/22,USL,- VEH ALLOW,Other,Tax,,0
4/14/22,USL,- VEH ALLOW,Other,Tax,,0
4/29/22,USL,- VEH ALLOW,Other,Tax,,0
5/13/22,USL,- VEH ALLOW,Other,Tax,,0
6/30/22,USL,- VEH ALLOW,Other,Tax,,0
7/15/22,USL,- VEH ALLOW,Other,Tax,,0
7/29/22,USL,- VEH ALLOW,Other,Tax,,0
8/15/22,USL,- VEH ALLOW,Other,Tax,,0
8/31/22,USL,- VEH ALLOW,Other,Tax,,0
9/15/22,USL,- VEH ALLOW,Other,Tax,,0
9/15/22,USL,EI CONT,Other,Tax,,0
9/30/22,USL,- VEH ALLOW,Other,Tax,,0
9/30/22,USL,GOVT PEN,Other,Tax,,0
9/30/22,USL,EI CONT,Other,Tax,,0
10/14/22,USL,- VEH ALLOW,Other,Tax,,0
10/14/22,USL,GOVT PEN,Other,Tax,,0
10/14/22,USL,EI CONT,Other,Tax,,0
10/31/22,USL,- VEH ALLOW,Other,Tax,,0
10/31/22,USL,GOVT PEN,Other,Tax,,0
10/31/22,USL,EI CONT,Other,Tax,,0
11/15/22,USL,GOVT PEN,Other,Tax,,0
11/15/22,USL,EI CONT,Other,Tax,,0
11/30/22,USL, - MISCTXBB,Other,Tax,,0
11/30/22,USL,GOVT PEN,Other,Tax,,0
11/30/22,USL,EI CONT,Other,Tax,,0
12/15/22,USL, - MISCTXBB,Other,Tax,,0
12/15/22,USL,GOVT PEN,Other,Tax,,0
12/15/22,USL,EI CONT,Other,Tax,,0
1/31/23,USL,- VEH ALLOW,Other,Tax,,0
1/31/23,USL,AD&D,Other,Deductions,,0
1/31/23,USL,DENT,Other,Deductions,,0
1/31/23,USL,ER EAP,Other,Deductions,,0
1/31/23,USL,EXTH,Other,Deductions,,0
1/31/23,USL,LIFE,Other,Deductions,,0
2/15/23,USL,- VEH ALLOW,Other,Tax,,0
2/15/23,USL,AD&D,Other,Deductions,,0
2/15/23,USL,DENT,Other,Deductions,,0
2/15/23,USL,ER EAP,Other,Deductions,,0
2/15/23,USL,EXTH,Other,Deductions,,0
2/15/23,USL,LIFE,Other,Deductions,,0
2/28/23,USL,- VEH ALLOW,Other,Tax,,0
2/28/23,USL,AD&D,Other,Deductions,,0
2/28/23,USL,DENT,Other,Deductions,,0
2/28/23,USL,ER EAP,Other,Deductions,,0
2/28/23,USL,EXTH,Other,Deductions,,0
2/28/23,USL,LIFE,Other,Deductions,,0
3/15/23,USL,- VEH ALLOW,Other,Tax,,0
3/15/23,USL,AD&D,Other,Deductions,,0
3/15/23,USL,DENT,Other,Deductions,,0
3/15/23,USL,ER EAP,Other,Deductions,,0
3/15/23,USL,EXTH,Other,Deductions,,0
3/15/23,USL,LIFE,Other,Deductions,,0
3/31/23,USL,- VEH ALLOW,Other,Tax,,0
3/31/23,USL,AD&D,Other,Deductions,,0
3/31/23,USL,DENT,Other,Deductions,,0
3/31/23,USL,ER EAP,Other,Deductions,,0
3/31/23,USL,EXTH,Other,Deductions,,0
3/31/23,USL,LIFE,Other,Deductions,,0
4/15/23,USL,AD&D,Other,Deductions,,0
4/15/23,USL,DENT,Other,Deductions,,0
4/15/23,USL,ER EAP,Other,Deductions,,0
4/15/23,USL,EXTH,Other,Deductions,,0
4/15/23,USL,LIFE,Other,Deductions,,0
4/28/23,USL,AD&D,Other,Deductions,,0
4/28/23,USL,DENT,Other,Deductions,,0
4/28/23,USL,ER EAP,Other,Deductions,,0
4/28/23,USL,EXTH,Other,Deductions,,0
4/28/23,USL,LIFE,Other,Deductions,,0
9/15/23,UCALGARY,TUITION,True_Expenses,Other,,"$6,020.91"
4/28/23,USL,Federal Income Tax,Other,Tax,,"$2,178.56"
3/31/22,PERSONAL,ETHEREUM,Investments,Crypto,,"$2,000.00"
4/18/22,SHAKEPAY,ETHEREUM,Investments,Crypto,,"$2,000.00"
5/26/22,SHAKEPAY,ETHEREUM,Investments,Crypto,,"$2,000.00"
1/14/22,USL,FEDL TAX,Other,Tax,,"$1,825.16"
5/3/23,APPLE,MACBOOK AIR M2,True_Expenses,Other,,"$1,795.29"
8/31/22,MASTERS,MONTHLY DEPOSIT,Investments,Masters,,"$1,500.00"
9/9/22,MASTERS,CONTRIBUTION,Investments,Masters,,"$1,500.00"
10/1/22,MASTERS,MONTHLY CONTRIBUTION,Investments,Masters,,"$1,500.00"
10/3/22,MASTERS,MONTHLY DEPOSIT,Investments,Masters,,"$1,500.00"
11/30/22,USL,- VEH ALLOW,Other,Tax,,"$1,419.16"
3/15/23,APPLE,IPAD,Optional_Expenses,Guilt-Free,,"$1,364.79"
10/14/22,AMAZON,SUPER ULTRAWIDE MONITOR (40% OFF),Optional_Expenses,Guilt-Free,,"$1,266.29"
9/19/22,CAR INSURANCE,CAR INSURANCE,Fixed_Expenses,Car Insurance,,"$1,265.00"
7/12/22,PERSONAL,MASTERS,Investments,Masters,,"$1,250.00"
12/15/22,USL,- VEH ALLOW,Other,Tax,,"$1,249.80"
8/15/22,PERSONAL,TFSA,Investments,TFSA,,"$1,249.55"
8/31/22,PERSONAL,TFSA,Investments,TFSA,,"$1,249.55"
9/15/22,PERSONAL,TFSA,Investments,TFSA,,"$1,249.55"
9/30/22,PERSONAL,TFSA,Investments,TFSA,,"$1,249.55"
10/14/22,PERSONAL,TFSA,Investments,TFSA,,"$1,249.55"
10/31/22,PERSONAL,TFSA,Investments,TFSA,,"$1,249.55"
11/15/22,USL,- VEH ALLOW,Other,Tax,,"$1,196.25"
3/29/23,LEXUS OF CALGARY,CAR MAINTENANCE + REPLACE REAR SHOCKS,True_Expenses,Auto Maintenance,,"$1,169.55"
11/15/22,USL,FEDL TAX,Other,Tax,,"$1,099.71"
11/30/22,USL,FEDL TAX,Other,Tax,,"$1,094.25"
12/5/22,BRASS MONOCLE,GLASSES,True_Expenses,Medical,,"$1,091.00"
3/2/22,USL,FEDL TAX,Other,Tax,,"$1,067.50"
11/15/22,PERSONAL,TFSA,Investments,TFSA,,"$1,049.55"
11/30/22,PERSONAL,TFSA,Investments,TFSA,,"$1,049.55"
12/15/22,PERSONAL,TFSA,Investments,TFSA,,"$1,049.55"
2/1/22,BROADWAY CENTRE,RENT,Fixed_Expenses,Housing,,"$1,049.00"
2/28/22,BROADWAY CENTRE,RENT,Fixed_Expenses,Housing,,"$1,049.00"
3/31/22,BROADWAY CENTRE,RENT,Fixed_Expenses,Housing,,"$1,049.00"
5/2/22,BROADWAY CENTRE,RENT,Fixed_Expenses,Housing,,"$1,049.00"
6/1/22,BROADWAY CENTRE,RENT,Fixed_Expenses,Housing,,"$1,049.00"
12/15/22,USL,FEDL TAX,Other,Tax,,"$1,033.28"
6/16/22,SHAKEPAY,ETHEREUM,Investments,Crypto,,"$1,000.00"
9/15/22,SHAKEPAY,ETHEREUM,Investments,Crypto,,"$1,000.00"
9/26/22,SHAKEPAY,BITCOIN,Investments,Crypto,,"$1,000.00"
1/15/23,USL,TFSA,Investments,TFSA,,$964.76
1/31/23,USL,TFSA,Investments,TFSA,,$964.76
2/15/23,USL,TFSA,Investments,TFSA,,$964.76
2/28/23,USL,TFSA,Investments,TFSA,,$964.76
3/15/23,USL,TFSA,Investments,TFSA,,$964.76
3/31/23,USL,TFSA,Investments,TFSA,,$964.76
4/15/23,USL,TFSA,Investments,TFSA,,$955.03
4/28/23,USL,TFSA,Investments,TFSA,,$955.03
7/15/22,PERSONAL,TFSA,Investments,TFSA,,$953.23
7/29/22,PERSONAL,TFSA,Investments,TFSA,,$953.23
1/14/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
1/31/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
2/15/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
2/28/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
3/15/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
3/31/22,USL,TFSA,Investments,TFSA,,$917.78
4/14/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
4/29/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
5/13/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
5/31/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
6/15/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
6/30/22,PERSONAL,TFSA,Investments,TFSA,,$917.78
10/30/21,ENSO,TATTOO (6hr ?),Other,Tattoo,,$892.50
11/15/22,USL,FEDL TAX,Other,Tax,,$874.73
6/15/22,USL,FEDL TAX,Other,Tax,,$773.77
6/13/22,SHAKEPAY,ETHEREUM,Investments,Crypto,,$750.00
10/15/22,MEMORY EXPRESS,GRAPHICS CARD - GTX 3070,Optional_Expenses,Guilt-Free,,$724.49
4/15/23,USL,Federal Income Tax,Other,Tax,,$718.20
1/31/22,USL,FEDL TAX,Other,Tax,,$701.48
2/15/22,USL,FEDL TAX,Other,Tax,,$701.48
5/31/22,USL,FEDL TAX,Other,Tax,,$686.09
7/12/22,ENSO,TATTOO (3HRS 25% TIP),Other,Tattoo,,$670.00
10/9/21,ENSO,TATTOO (6hr ?),Other,Tattoo,,$670.00
10/9/21,ENSO,TATTOO (6hr ?),Other,Tattoo,,$670.00
1/28/22,ENSO,TATTOO (6hr ?),Other,Tattoo,,$643.20
5/8/22,ENSO,TATTOO (6hr ?),Other,Tattoo,,$643.20
4/14/22,USL,FEDL TAX,Other,Tax,,$639.87
4/29/22,USL,FEDL TAX,Other,Tax,,$639.87
5/13/22,USL,FEDL TAX,Other,Tax,,$639.87
6/30/22,USL,FEDL TAX,Other,Tax,,$639.57
7/15/22,USL,FEDL TAX,Other,Tax,,$639.57
7/29/22,USL,FEDL TAX,Other,Tax,,$639.57
8/15/22,USL,FEDL TAX,Other,Tax,,$639.57
8/31/22,USL,FEDL TAX,Other,Tax,,$639.57
9/15/22,USL,FEDL TAX,Other,Tax,,$639.57
9/30/22,USL,FEDL TAX,Other,Tax,,$639.57
10/14/22,USL,FEDL TAX,Other,Tax,,$639.57
10/31/22,USL,FEDL TAX,Other,Tax,,$639.57
1/15/23,USL,Federal Income Tax,Other,Tax,,$607.81
1/31/23,USL,Federal Income Tax,Other,Tax,,$607.81
2/15/23,USL,Federal Income Tax,Other,Tax,,$607.81
2/28/23,USL,Federal Income Tax,Other,Tax,,$607.81
3/15/23,USL,Federal Income Tax,Other,Tax,,$607.81
3/31/23,USL,Federal Income Tax,Other,Tax,,$607.81
4/13/23,LEXUS OF CALGARY,REAR BRAKE PADS,True_Expenses,Auto Maintenance,,$595.29
1/14/22,USL,FEDL TAX,Other,Tax,,$575.67
2/28/22,USL,FEDL TAX,Other,Tax,,$575.67
3/15/22,USL,FEDL TAX,Other,Tax,,$575.67
3/31/22,USL,FEDL TAX,Other,Tax,,$575.67
2/10/23,STEAM,64GB STEAM DECK,Optional_Expenses,Guilt-Free,,$523.95
11/2/22,U OF C,DEPOSIT,Other,Other,,$500.00
4/28/23,USL,CPP Gov Pens EE,Other,CPP,,$490.49
2/18/23,BOOKING.COM,WHISTLER HOTEL 3 NIGHTS,Other,Vacation,,$467.14
6/15/22,USL,- VEH ALLOW,Other,Tax,,$440.00
3/10/22,ENSO,TATTOO (6hr ?),Other,Tattoo,,$428.40
1/31/22,USL,- VEH ALLOW,Other,Tax,,$412.50
2/15/22,USL,- VEH ALLOW,Other,Tax,,$412.50
5/25/22,LEXUS,FULL SERVICE,True_Expenses,Auto Maintenance,,$397.56
1/23/23,INGLEWOOD FAMILY DENTAL,DENTAL (2x FILLINGS),True_Expenses,Medical,,$390.96
8/19/23,007 AIRSOFT,DESERT EAGLE,Optional_Expenses,Guilt-Free,,$377.98
11/28/22,CANADIAN TIRE,CAR DIAGNOSTICS TOOL,True_Expenses,Auto Maintenance,,$356.99
1/28/23,AMAZON,"17.3"" PORTABLE MONITOR",Optional_Expenses,Guilt-Free,,$346.49
1/14/22,USL,GOVT PEN,Other,Tax,,$341.10
4/24/23,HUSH,SEX TOYS,Other,Unexpected Expenses,,$335.97
2/5/23,POPEYES,2X WHEY PROTEIN + 1X CASEIN,Variable_Expenses,Groceries,,$329.34
3/20/23,EYE TO EYE OPTOMETRY,CONTACT LENSES (90 DAILIES),True_Expenses,Medical,,$320.00
11/29/22,PARTSOURCE,12V CAR BATTERY,True_Expenses,Auto Maintenance,,$306.59
4/23/22,LONG & MCQUADE,DJCONTROL IMPULSE 300,Optional_Expenses,Guilt-Free,,$303.45
3/14/23,USL,WORK REIMBURSEMENT,Reimbursements,Work Reimbursements,,$276.52
10/27/22,HOTELS.COM,WHISTLER HOTEL 2 NIGHTS,Other,Vacation,,$274.12
5/15/23,MEC,DRY BAGS + SLEEPING BAG,Other,Vacation,,$265.00
6/16/23,MEC,HIKING POLES + FOOD + WATER TABS,Other,Vacation,,$263.24
3/27/23,MARK,WEST COAST TRAIL,Other,Vacation,,$242.00
11/15/22,USL, - MISCTXBB,Other,Tax,,$238.09
12/3/22,THE MALCOLM,USL CHRISTMAS PARTY,Optional_Expenses,Entertainment,,$223.47
1/23/22,KNIFEWEAR,JAPANESE CHEFS KNIFE,Optional_Expenses,Guilt-Free,,$221.55
5/16/22,CRAFT BEER MARKET,WORK REIMBURSEMENT,Reimbursements,Work Reimbursement,,$219.30
1/8/22,ARITZIA,GIFT FOR MORGAN,True_Expenses,Gifts,,$218.40
4/25/23,NUPHY,AIR75 MECHANICAL KEYBOARD,Other,School,,$210.63
12/17/22,ILLUME,MICRONEEDLING SESSION #1,True_Expenses,Medical,,$210.00
3/27/23,ILLUME,MICRONEEDLING SESSION #4,True_Expenses,Medical,,$210.00
5/15/23,ILLUME,MICRONEEDLING SESSION #5,True_Expenses,Medical,,$210.00
1/15/22,APEGA,MEMBERSHIP DUES,Reimbursements,Work Reimbursement,,$205.80
3/8/23,APEGA,MIT FEES,Reimbursements,Work Reimbursements,,$205.80
4/15/23,USL,CPP Gov Pens EE,Other,CPP,,$202.73
9/6/22,VALUE BUDS,PAX 3 FOR MORGAN,True_Expenses,Gifts,,$202.62
1/3/23,SANDRA LUNA,PSYCHOLOGY APPOINTMENT,Reimbursements,Benefits,,$200.00
2/1/22,SANDRA LUNA,PSYCHOLOGY,True_Expenses,Medical,,$200.00
2/25/22,SANDRA LUNA,PSYCHOLOGY,True_Expenses,Medical,,$200.00
3/14/22,SANDRA LUNA,PSYCHOLOGY,True_Expenses,Medical,,$200.00
3/28/22,SANDRA LUNA,PSYCHOLOGY,True_Expenses,Medical,,$200.00
4/12/22,SANDRA LUNA,PSYCHOLOGY,True_Expenses,Medical,,$200.00
5/12/22,SANDRA LUNA,PSYCHOLOGY,True_Expenses,Medical,,$200.00
9/12/22,SANDRA LUNA,PSYCHOLOGY,True_Expenses,Medical,,$200.00
1/21/23,ILLUME,MICRONEEDLING SESSION #2,True_Expenses,Medical,,$200.00
2/14/23,ILLUME,MICRONEEDLING SESSION #2,True_Expenses,Medical,,$200.00
3/4/23,SANDRA LUNA,PSYCHOLOGY,Reimbursements,Benefits,,$200.00
3/6/23,SANDRA LUNA,PSYCHOLOGY,True_Expenses,Medical,,$200.00
4/11/23,SANDRA LUNA,PSYCHOLOGY SESSION,True_Expenses,Medical,,$200.00
5/26/23,SANDRA LUNA,PSYCHOLOGY SESSION,True_Expenses,Medical,,$200.00
7/14/23,SANDRA LUNA,PSYCHOLOGY SESSION,True_Expenses,Medical,,$200.00
9/1/23,SANDRA LUNA,PSYCHOLOGY SESSION,True_Expenses,Medical,,$200.00
10/3/23,SANDRA LUNA,PSYCHOLOGY SESSION,True_Expenses,Medical,,$200.00
6/15/22,USL,GOVT PEN,Other,Tax,,$199.86
10/16/22,UNITY,NOVA UI,Variable_Expenses,Learning,,$193.00
4/30/23,LEVI'S,2X BLACK JEANS,Variable_Expenses,Clothing,,$192.78
1/31/22,USL,GOVT PEN,Other,Tax,,$186.35
2/15/22,USL,GOVT PEN,Other,Tax,,$186.35
5/27/23,MEC,BACKCOUNTRY BACKPACK + SUPPLIES,Other,Vacation,,$183.55
5/31/22,USL,GOVT PEN,Other,Tax,,$183.48
9/23/23,SUPERSTORE,GROCERIES,Variable_Expenses,Groceries,,$181.35
1/15/23,USL,CPP Gov Pens EE,Other,CPP,,$180.97
1/31/23,USL,CPP Gov Pens EE,Other,CPP,,$180.97
2/15/23,USL,CPP Gov Pens EE,Other,CPP,,$180.97
2/28/23,USL,CPP Gov Pens EE,Other,CPP,,$180.97
3/15/23,USL,CPP Gov Pens EE,Other,CPP,,$180.97
3/31/23,USL,CPP Gov Pens EE,Other,CPP,,$180.97
6/17/22,ETSY,BLISSFULCREATIONS,Optional_Expenses,Guilt-Free,,$176.98
1/7/23,BACCHUS,KARAOKE,Optional_Expenses,Entertainment,,$176.81
4/14/22,USL,GOVT PEN,Other,Tax,,$174.84
4/29/22,USL,GOVT PEN,Other,Tax,,$174.84
5/13/22,USL,GOVT PEN,Other,Tax,,$174.84
6/30/22,USL,GOVT PEN,Other,Tax,,$174.78
7/15/22,USL,GOVT PEN,Other,Tax,,$174.78
7/29/22,USL,GOVT PEN,Other,Tax,,$174.78
8/15/22,USL,GOVT PEN,Other,Tax,,$174.78
8/31/22,USL,GOVT PEN,Other,Tax,,$174.78
8/24/23,CAPTAIN SPORTS,TKD COMPETITION SOCKS,Fixed_Expenses,Gym Membership,,$169.46
2/10/23,AMAZON,1TB MICRO SD,Optional_Expenses,Guilt-Free,,$165.90
8/14/23,CO-OP,WEED STUFF,Optional_Expenses,Vices,,$165.87
1/14/22,USL,GOVT PEN,Other,Tax,,$162.84
2/28/22,USL,GOVT PEN,Other,Tax,,$162.84
3/15/22,USL,GOVT PEN,Other,Tax,,$162.84
3/31/22,USL,GOVT PEN,Other,Tax,,$162.84
5/13/22,MARKS,COVERALLS FOR WORK,Variable_Expenses,Clothing,,$157.49
4/25/22,GOVT,SPEEDING TICKET,Other,Other,,$156.00
4/5/22,LONG CLOTHING,CLOTHING,Variable_Expenses,Clothing,,$155.87
9/15/22,USL,GOVT PEN,Other,Tax,,$153.38
11/20/22,FUJI MARKET,RAMEN W/ MORGAN'S FAMILY (PAID),Other,Vacation,,$153.05
6/1/23,RED PHOENIX,TAEKWONDO MONTHLY,Fixed_Expenses,Gym Membership,,$152.25
7/1/23,RED PHOENIX,TKD MEMBERSHIP,Fixed_Expenses,Gym Membership,,$152.25
7/22/23,RED PHOENIX,TAEKWONDO MONTHLY,Fixed_Expenses,Gym Membership,,$152.25
9/1/23,RED PHOENIX,MONTHLY FEE,Fixed_Expenses,Gym Membership,,$152.25
10/1/23,RED PHOENIX,MONTHLY FEE,Fixed_Expenses,Gym Membership,,$152.25
5/31/22,USL,- VEH ALLOW,Other,Tax,,$151.55
7/15/22,MOBILE KLINIK,IPHONE 7 GLASS REPLACEMENT,Other,Other,,$145.95
7/12/22,MADISON & PAGE,GIFT FOR MORGAN (FOUNTAIN PEN),True_Expenses,Gifts,,$142.80
